N,ID,correct,fitness,incorrect
674,67322,30,47238.149161,10
675,67445,28,18242.446225,12
676,67542,25,17302.354847,13
677,67625,26,18732.738756,14
678,67779,31,55113.353245,8
679,67878,25,34793.525364,14
680,67904,28,40613.583347,11
681,68030,29,14573.313503,9
682,68121,30,40927.799314,10
683,68218,33,31993.460430,6
684,68334,32,79171.021769,8
685,68412,29,27628.032268,11
686,68504,33,31900.736568,7
687,68615,31,31800.831063,8
688,68735,29,40218.265706,11
689,68820,27,23383.504774,13
690,68945,33,39254.126078,6
691,69083,30,39724.736208,9
692,69139,30,66096.459174,9
693,69212,31,23836.166513,9
694,69314,26,13702.336002,14
695,69443,26,42566.772995,14
696,69542,28,22907.755049,11
697,69657,29,12049.461896,10
698,69733,31,78249.878012,9
699,69840,29,11540.729234,10
700,69904,24,9501.292458,14
701,70043,30,29109.798030,10
702,70155,29,17480.114034,9
703,70281,27,51006.350958,12
704,70306,30,31492.836243,10
705,70416,32,190904.835192,8
706,70540,30,25315.789150,9
707,70667,32,83031.993058,8
708,70735,24,11476.932080,14
709,70845,32,44371.262736,8
710,70920,25,5294.060185,15
711,71088,29,96920.593846,11
712,71126,26,39946.247432,14
713,71207,33,45706.845111,7
714,71361,31,19293.802696,8
715,71401,24,15887.385086,16
716,71536,25,22617.918411,15
717,71676,30,31461.942721,10
718,71716,30,43907.291456,10
719,71837,29,36025.398420,10
720,71993,28,20735.898054,11
721,72059,28,41717.221615,12
722,72156,32,28181.150784,8
723,72284,27,31409.125999,13
724,72385,27,17631.753524,12
725,72475,27,11918.399106,11
726,72550,28,48438.045071,12
727,72633,32,105318.854850,8
728,72750,27,38865.958687,12
729,72895,31,17924.589801,9
730,72986,30,59258.792748,10
731,73084,30,33902.487245,10
732,73114,27,19966.663562,12
733,73292,32,57146.104365,7
734,73322,30,52806.039193,10
735,73487,34,225306.456018,5
736,73528,32,120836.028314,8
737,73680,35,16174.814552,5
738,73779,30,97855.458939,10
739,73819,33,56183.956419,7
740,73960,29,56889.303903,11
741,74014,32,54818.547352,7
742,74180,26,11409.000531,10
743,74284,26,13261.057864,14
744,74340,30,17107.231337,10
745,74475,29,13366.720561,10
746,74545,30,57859.673212,9
747,74655,33,35877.474013,7
748,74797,28,17225.334212,9
749,74898,28,45579.337160,12
750,74958,29,6656.735072,10
751,75072,29,20175.603918,11
752,75193,28,18349.983865,10
753,75202,29,42327.344402,10
754,75343,27,43572.348346,12
755,75409,32,73626.579578,8
756,75529,32,15090.021080,8
757,75634,29,114763.053012,11
758,75716,30,50649.122023,9
759,75822,29,30388.321208,11
760,75939,26,11652.475626,14
761,76001,23,17043.730925,16
762,76118,34,58364.201585,5
763,76204,31,21682.820841,8
764,76351,31,20291.326156,9
765,76462,28,15581.866252,11
766,76565,27,36607.876052,13
767,76667,29,33872.918255,10
768,76711,37,44678.135365,3
769,76868,32,15655.544568,8
770,76951,34,152438.297983,6
771,77001,35,49888.962891,5
772,77138,28,28459.989904,12
773,77232,26,29931.348166,13
774,77333,30,15252.867448,9
775,77469,33,73219.837883,7
776,77586,31,73553.445045,8
777,77651,32,41550.154101,8
778,77764,25,17144.609926,13
779,77844,32,26330.285401,8
780,77971,28,12890.913091,12
781,78056,29,53449.601287,9
782,78147,31,30172.226533,9
783,78261,29,11919.051678,11
784,78305,34,50984.799203,6
785,78474,25,16005.087817,14
786,78576,27,10847.223295,13
787,78609,22,20440.698464,16
788,78722,27,45998.554287,13
789,78877,24,32922.793468,16
790,78914,31,40742.108442,8
791,79017,27,66231.155913,12
792,79110,25,8614.155865,15
793,79293,26,4920.822407,13
794,79309,29,51015.310544,9
795,79403,31,27143.570535,9
796,79532,28,17948.594096,12
797,79679,25,10422.949906,14
798,79727,32,95319.357056,8
799,79822,28,9780.602644,12
800,79975,31,47725.337188,7
801,80045,35,25259.279042,4
802,80104,29,22301.024662,10
803,80221,30,49115.427462,9
804,80367,30,40759.356464,10
805,80443,23,18850.781845,17
806,80507,34,207999.052778,5
807,80619,27,8457.282315,13
808,80761,29,14471.523494,9
809,80844,26,14094.164660,13
810,80929,28,20121.131099,11
811,81008,30,26861.272341,10
812,81109,27,16649.328210,13
813,81269,30,53231.567382,10
814,81370,30,27504.455275,8
815,81455,29,12847.667119,11
816,81596,33,176191.144614,7
817,81687,28,30309.919705,10
818,81730,26,41414.660328,14
819,81814,28,18841.773475,11
820,81934,27,41645.386291,13
821,82092,29,46853.626824,11
822,82163,29,64538.106313,11
823,82271,28,20535.885884,12
824,82397,32,78522.509120,8
825,82434,30,22753.171473,10
826,82507,26,7785.056572,12
827,82671,31,109646.856225,9
828,82703,25,12794.464193,15
829,82822,29,107579.873924,10
830,82943,31,59487.002263,9
831,83033,30,51001.834277,10
832,83163,31,22660.269792,8
833,83237,34,213051.954156,6
834,83387,30,39481.095106,9
835,83440,27,8700.036908,13
836,83593,31,33444.391487,9
837,83631,34,112412.468979,6
838,83797,35,40139.336656,5
839,83895,30,45409.677815,10
840,83990,33,60817.342862,6
841,84066,30,15180.713275,9
842,84162,24,15551.371324,15
843,84226,30,59139.179039,8
844,84336,27,13314.604027,12
845,84493,32,134263.626530,8
846,84540,26,8678.331156,14
847,84631,28,44913.441174,12
848,84780,27,30046.254839,12
849,84884,26,18439.539891,14
850,84992,31,89469.480335,9
851,85051,33,58870.315648,6
852,85182,31,37070.787319,9
853,85235,27,28629.132678,13
854,85376,29,41893.043414,11
855,85418,28,20572.501207,12
856,85544,32,49946.199753,6
857,85695,33,178229.722932,7
858,85727,32,35467.600680,8
859,85823,32,25331.822678,7
860,85975,30,45449.442702,10
861,86001,27,21458.931959,12
862,86172,27,22800.056481,12
863,86278,27,23918.445010,11
864,86330,28,28789.814488,12
865,86457,31,92457.012568,8
866,86528,29,27518.363114,11
867,86698,29,44696.840472,11
868,86724,31,23444.846361,9
869,86830,30,67003.721260,9
870,86936,28,20267.767028,11
871,87037,26,19640.604129,14
872,87114,22,8107.334346,17
873,87210,27,22951.322764,13
874,87347,25,44921.558729,15
875,87459,32,23873.632864,7
876,87579,32,16205.949444,8
877,87609,29,40643.468238,11
878,87725,23,7766.667365,16
879,87831,23,16267.720984,17
880,87957,33,28879.983103,6
881,88022,25,16505.223816,15
882,88197,30,42144.582541,10
883,88241,25,9024.428292,14
884,88357,29,98927.315378,10
885,88422,33,33241.763194,7
886,88575,27,13491.970879,13
887,88603,24,28921.593619,16
888,88767,29,56438.788335,10
889,88895,30,67891.436616,10
890,88952,24,11992.909546,15
891,89030,31,42157.006061,9
892,89176,24,18300.953522,16
893,89274,31,41029.213938,9
894,89331,26,59907.763254,13
895,89469,26,73021.245664,14
896,89544,31,59804.213741,9
897,89665,29,47038.749378,10
898,89789,27,11181.796984,12
899,89808,28,31038.595090,10
900,89999,23,21738.800275,17
901,90041,26,47205.954440,13
902,90127,30,9185.955663,8
903,90246,27,42868.068448,13
904,90360,29,55500.524850,11
905,90445,26,7897.113463,14
906,90554,31,15208.197381,7
907,90660,26,7710.876165,14
908,90797,28,17495.899712,11
909,90871,28,57048.278001,11
